#timestamp tx ty tz qx qy qz qw
0 1.1275709e-17 5.190631e-18 -1.0842022e-19 -8.131351e-20 1.0 -2.0709956e-19 6.505213e-19
1 1.22298e-16 -7.8076096e-17 -1.0842022e-19 4.3304427e-18 1.0 -8.1922205e-19 -8.2383906e-19
2 -0.0022180332 -0.0003794313 -0.00035096856 0.00075854885 0.9999987 -0.0013991053 -0.00021101728
3 -0.002125721 -0.0016242437 -0.00018718242 3.6312784e-05 0.9999972 -0.0023683715 0.00016870549
4 -0.0014865813 -0.0012163175 -0.000633254 -0.00035765234 0.9999971 -0.002376817 -0.00012428212
5 -0.0024614104 -0.002312776 -0.00041691746 -0.00039113947 0.99999696 -0.002395602 -0.00036886253
6 -0.0042842864 -0.00089570816 2.4215873e-05 -0.0010955124 0.9999933 -0.0034700278 -0.00024150145
7 -0.002744787 0.00048649273 -0.0002698066 -0.0012451813 0.9999939 -0.0032416785 -0.0003965671
8 -0.0027418123 -0.00019024701 -0.00021417404 -0.0006869974 0.9999942 -0.0032993597 -0.0005053308
9 -0.004590569 -0.00031590828 0.0004554956 -0.00079267257 0.99999285 -0.0036314481 -0.0006700115
10 -0.006109566 0.0006376711 -0.0008082849 -0.0009345927 0.9999939 -0.0032572171 -0.00078886934
11 -0.004506918 0.00075448316 -0.0008091135 -0.0012331808 0.9999931 -0.0033208316 -0.0011126393
12 -0.003386597 -0.0006758662 -0.0013595378 -0.001153421 0.99999404 -0.0029765507 -0.0013016918
13 -0.004836467 0.0018947299 -0.0012906368 -0.0011993559 0.99999535 -0.0024438745 -0.0013613435
14 -0.00788518 0.00021472402 -0.0012424424 -0.00070698076 0.9999981 -0.000262895 -0.0018086955
15 -0.010542621 -0.0009960973 -0.0014967549 -0.0012358854 0.99999666 0.0010624146 -0.0019956017
16 -0.015531415 0.001224199 -0.0010753588 -0.0017257675 0.9999928 0.0028118233 -0.0018792325
17 -0.016892413 -1.2673078e-05 -0.0015596087 -0.0014253582 0.9999928 0.0029955625 -0.0018531678
18 -0.014886756 -0.0007831307 -0.0017683512 -0.0017563362 0.9999913 0.002865873 -0.0024805537
19 -0.015990356 -0.0005981036 -0.002961837 -0.0021112675 0.99998766 0.0032461693 -0.0031104162
20 -0.031205935 0.0024823968 -0.005827025 -0.0025282041 0.9999705 0.004525718 -0.0056646387
21 -0.040673327 0.0029572155 -0.0068835896 -0.0036430953 0.9999552 0.0057593286 -0.0065746633
22 -0.04159023 0.003079003 -0.008739025 -0.0034819243 0.9999572 0.006299104 -0.0058103
23 -0.04427664 0.0015082984 -0.009272392 -0.0028890918 0.99995685 0.0065166745 -0.0059548994
24 -0.04780987 0.0018928943 -0.011826459 -0.0034957577 0.99995255 0.0061962563 -0.006657832
25 -0.052307285 0.0051279804 -0.013455571 -0.003875546 0.9999508 0.0053366683 -0.0074058245
26 -0.060058773 0.0037575855 -0.014570283 -0.00428528 0.9999343 0.005186205 -0.009277111
27 -0.06704602 0.0073987655 -0.015977252 -0.0058869435 0.99991333 0.0054118237 -0.010458656
28 -0.067893915 0.009105634 -0.021314157 -0.0047323555 0.99992275 0.005099696 -0.010302361
29 -0.075738 0.0086295325 -0.02063738 -0.004395518 0.9999137 0.004839166 -0.0113980835
